url,last_commit,stars
"https://github.com/yutiansut/QUANTAXIS_Webkit","2018-06-05","37"
"https://github.com/boundedvariation/quantfin","2019-04-06","139"
"https://github.com/MarcusRainbow/Haxcel","2022-09-13","38"
"https://github.com/MarcusRainbow/Ffinar","2022-03-05","5"
"https://github.com/choucrifahed/quantscale","2014-02-06","50"
"https://github.com/frankcash/Scala-Quant","2017-05-06","10"
"https://github.com/unageanu/jiji2","2021-04-30","249"
"https://github.com/fremantle-capital/tai","2024-12-07","494"
"https://github.com/fremantle-industries/workbench","2023-03-06","121"
"https://github.com/fremantle-industries/prop","2023-03-06","55"
"https://github.com/stellar/kelp","2023-11-03","1121"
"https://github.com/alpacahq/pymarketstore","2023-07-05","114"
"https://github.com/cinar/indicator","2026-03-05","838"
"https://github.com/lballabio/QuantLib","2026-04-02","6979"
"https://github.com/auto-differentiation/QuantLib-Risks-Cpp","2026-04-02","39"
"https://github.com/auto-differentiation/xad","2026-04-12","411"
"https://github.com/rburkholder/trade-frame","2026-03-05","652"
"https://github.com/fasiondog/hikyuu","2026-04-09","3082"
"https://github.com/lballabio/QuantLib","2026-04-02","6979"
"https://github.com/frgomes/jquantlib","2016-03-14","153"
"https://github.com/eddelbuettel/rquantlib","2026-04-08","131"
"https://github.com/amaggiulli/qlnet","2026-04-09","424"
"https://github.com/enthought/pyql","2025-08-20","1276"
"https://github.com/pazzo83/QuantLib.jl","2020-02-18","143"
"https://github.com/QuantConnect/Lean","2026-04-10","18371"
"https://github.com/StockSharp/StockSharp","2026-04-12","9686"
"https://github.com/NVentimiglia/TDAmeritrade.DotNetCore","2023-03-10","57"
"https://github.com/MarcusRainbow/QuantMath","2023-06-16","404"
"https://github.com/barter-rs/barter-rs","2026-04-10","2068"
"https://github.com/MathisWellmann/lfest-rs","2026-04-07","77"
"https://github.com/MathisWellmann/trade_aggregation-rs","2026-02-05","115"
"https://github.com/MathisWellmann/sliding_features-rs","2026-02-18","74"
"https://github.com/avhz/RustQuant","2026-01-14","1700"
"https://github.com/Nnamdi-sys/finalytics","2026-02-17","68"
"https://github.com/runmat-org/runmat","2026-04-10","203"
"https://github.com/MarcosCarreira/DermanPapers","2017-10-21","510"
"https://github.com/jasonstrimpel/volatility-trading","2024-10-21","1887"
"https://github.com/paulperry/quant","2015-07-14","412"
"https://github.com/rsvp/fecon235","2023-01-20","1257"
"https://github.com/LongOnly/Quantitative-Notebooks","2020-07-02","1331"
"https://github.com/Finance-Hub/FinanceHub","2024-05-28","786"
"https://github.com/dedwards25/Python_Option_Pricing","2025-05-13","830"
"https://github.com/jpmorganchase/python-training","2024-07-17","12964"
"https://github.com/LastAncientOne/Stock_Analysis_For_Quant","2025-05-04","1993"
"https://github.com/chrisconlan/algorithmic-trading-with-python","2021-06-01","3280"
"https://github.com/cerlymarco/MEDIUM_NoteBook","2024-09-22","2135"
"https://github.com/PythonCharmers/QuantFinance","2025-09-02","605"
"https://github.com/mgroncki/IPythonScripts","2026-02-28","175"
"https://github.com/LechGrzelak/Computational-Finance-Course","2024-03-01","497"
"https://github.com/emoen/Machine-Learning-for-Asset-Managers","2026-02-11","621"
"https://github.com/PacktPublishing/Python-for-Finance-Cookbook","2026-03-02","786"
"https://github.com/ysaporito/modelos_vol_derivativos","2023-08-19","59"
"https://github.com/enricoschumann/NMOF","2025-12-24","38"
"https://github.com/yhilpisch/py4fi2nd","2025-06-06","2186"
"https://github.com/yhilpisch/aiif","2024-01-14","386"
"https://github.com/yhilpisch/py4at","2023-10-09","830"
"https://github.com/yhilpisch/dawp","2021-02-22","636"
"https://github.com/yhilpisch/dx","2025-04-05","768"
"https://github.com/LechGrzelak/QuantFinanceBook","2025-04-14","878"
"https://github.com/ryanmccrickerd/rough_bergomi","2018-09-17","142"
"https://github.com/ryanmccrickerd/frh-fx","2018-05-24","13"
"https://github.com/euclidjda/value-investing-studies","2021-10-26","92"
"https://github.com/firmai/machine-learning-asset-management","2021-12-17","1737"
"https://github.com/LastAncientOne/Deep-Learning-Machine-Learning-Stock","2024-03-01","1732"
"https://github.com/jo-cho/Technical_Analysis_and_Feature_Engineering","2024-02-16","198"
"https://github.com/differential-machine-learning/notebooks","2022-10-05","148"
"https://github.com/robcarver17/systematictradingexamples","2020-07-22","464"
"https://github.com/robcarver17/pysystemtrade_examples","2018-02-21","261"
"https://github.com/mfrdixon/ML_Finance_Codes","2020-06-13","2550"
"https://github.com/packtpublishing/hands-on-machine-learning-for-algorithmic-trading","2023-01-18","1825"
"https://github.com/financialnoob/misc","2024-08-26","28"
"https://github.com/deltaray-io/strategy-library","2024-04-06","20"
"https://github.com/lingyixu/Quant-Finance-With-Python-Code","2026-01-15","170"
"https://github.com/JoaoJungblut/QuantFinanceTraining","2024-02-20","40"
